代码,名称,收盘价,市盈率,市净率,净资产收益率,总股本,流通股本,上市时间
300445.XSHE,康斯特,44.3,1690,1690,1690,81600000,20400000,2015-04-24
300446.XSHE,乐凯新材,85.15,1691,1691,1691,61400000,15400000,2015-04-23
300447.XSHE,全信股份,74.47,1692,1692,1692,81000000,20250000,2015-04-22
300448.XSHE,浩云科技,76.32,1693,1693,1693,80688500,20000000,2015-04-24
300449.XSHE,汉邦高科,91,1694,1694,1694,70700000,17700000,2015-04-22
300450.XSHE,先导智能,0,1695,1695,1695,136000000,34000000,2015-05-18
300451.XSHE,创业软件,128.54,1696,1696,1696,70067500,17000000,2015-05-14
300452.XSHE,山河药辅,85.01,1697,1697,1697,46400000,11600000,2015-05-15
300453.XSHE,三鑫医疗,63.24,1698,1698,1698,79360000,19859700,2015-05-15
300455.XSHE,康拓红外,38.35,1699,1699,1699,140000000,35000000,2015-05-15
300456.XSHE,耐威科技,91,1700,1700,1700,84000000,21000000,2015-05-14
300457.XSHE,赢合科技,67.8,1701,1701,1701,117000000,29250000,2015-05-14
300458.XSHE,全志科技,84.53,1702,1702,1702,160000000,40000000,2015-05-15
300459.XSHE,浙江金科,37.8,1703,1703,1703,265000000,66250000,2015-05-15
300460.XSHE,惠伦晶体,26.25,1704,1704,1704,168274200,42080000,2015-05-15
300461.XSHE,田中精机,48.28,1705,1705,1705,66680000,16680000,2015-05-19
300462.XSHE,华铭智能,0,1706,1706,1706,137760000,34440000,2015-05-27
300463.XSHE,迈克生物,85.44,1707,1707,1707,186000000,37475100,2015-05-28
300464.XSHE,星徽精密,41.19,1708,1708,1708,84215000,20670000,2015-06-10
300465.XSHE,高伟达,73.38,1709,1709,1709,134940000,33339000,2015-05-28
300466.XSHE,赛摩电气,69.2,1710,1710,1710,80000000,20000000,2015-05-28
300467.XSHE,迅游科技,69.09,1711,1711,1711,160000000,40000000,2015-05-27
300468.XSHE,四方精创,66.42,1712,1712,1712,100000000,25000000,2015-05-27
300469.XSHE,信息发展,130,1713,1713,1713,66800000,16700000,2015-06-11
300470.XSHE,日机密封,86.32,1714,1714,1714,53340000,13340000,2015-06-12
300471.XSHE,厚普股份,53.39,1715,1715,1715,147968000,29600000,2015-06-11
300472.XSHE,新元科技,47.38,1716,1716,1716,66670000,16670000,2015-06-11
300473.XSHE,德尔股份,67.47,1717,1717,1717,100000000,25000000,2015-06-12
300475.XSHE,聚隆科技,24.23,1718,1718,1718,200000000,50000000,2015-06-10
300476.XSHE,胜宏科技,48.94,1719,1719,1719,149560000,36670000,2015-06-11
300477.XSHE,合纵科技,49.3,1720,1720,1720,108180000,26000000,2015-06-10
300478.XSHE,杭州高新,54.2,1721,1721,1721,66670000,16670000,2015-06-10
300479.XSHE,神思电子,82.8,1722,1722,1722,80000000,20000000,2015-06-12
300480.XSHE,光力科技,48.51,1723,1723,1723,92000000,23000000,2015-07-02
300481.XSHE,濮阳惠成,47.19,1724,1724,1724,80000000,20000000,2015-06-30
300482.XSHE,万孚生物,96.99,1725,1725,1725,88000000,22000000,2015-06-30
300483.XSHE,沃施股份,46.81,1726,1726,1726,61500000,15500000,2015-06-30
300484.XSHE,蓝海华腾,29.7,1727,1727,1727,52000000,13000000,2016-03-22
300485.XSHE,赛升药业,107.61,1728,1728,1728,120000000,29999800,2015-06-26
300486.XSHE,东杰智能,41.66,1729,1729,1729,138860881,34720000,2015-06-30
300487.XSHE,蓝晓科技,47.8,1730,1730,1730,80000000,19999500,2015-07-02
300488.XSHE,恒锋工具,72.32,1731,1731,1731,62510000,12510000,2015-07-01
300489.XSHE,中飞股份,73.45,1732,1732,1732,45375000,11350000,2015-07-01
300490.XSHE,华自科技,37.14,1733,1733,1733,100000000,25000000,2015-12-31
300491.XSHE,通合科技,68.36,1734,1734,1734,80000000,20000000,2015-12-31
300492.XSHE,山鼎设计,36.6,1735,1735,1735,83200000,20800000,2015-12-23
300493.XSHE,润欣科技,49.02,1736,1736,1736,120000000,30000000,2015-12-10
300494.XSHE,盛天网络,83.49,1737,1737,1737,120000000,30000000,2015-12-31
300495.XSHE,美尚生态,128.37,1738,1738,1738,66700000,16700000,2015-12-22
300496.XSHE,中科创达,197.59,1739,1739,1739,100000000,25000000,2015-12-10
300497.XSHE,富祥股份,87.41,1740,1740,1740,72000000,18000000,2015-12-22
300498.XSHE,温氏股份,52.9,1741,1741,1741,3625247380,254963598,2015-11-02
300499.XSHE,高澜股份,58.5,1742,1742,1742,66670000,16670000,2016-02-02
300500.XSHE,苏州设计,71.5,1743,1743,1743,60000000,15000000,2016-02-04
300501.XSHE,海顺新材,87.1,1744,1744,1744,53380000,13380000,2016-02-04
300502.XSHE,新易盛,82.35,1745,1745,1745,77600000,19400000,2016-03-03
300503.XSHE,昊志机电,28.84,1746,1746,1746,100000000,25000000,2016-03-09
300505.XSHE,川金诺,26.16,1747,1747,1747,93360000,23350000,2016-03-15
600000.XSHG,浦发银行,18.13,1748,1748,1748,18653471250,18653471250,1999-11-10
600004.XSHG,白云机场,12.25,1749,1749,1749,1150000000,1150000000,2003-04-28
600005.XSHG,武钢股份,3.05,1750,1750,1750,10093780000,10093780000,1999-08-03
600006.XSHG,东风汽车,6.21,1751,1751,1751,2000000000,2000000000,1999-07-27
600007.XSHG,中国国贸,15.25,1752,1752,1752,1007282500,1007282500,1999-03-12
600008.XSHG,首创股份,8.23,1753,1753,1753,2410307031,2410307031,2000-04-27
600009.XSHG,上海机场,29.31,1754,1754,1754,1926958437,1093476406,1998-02-18
600010.XSHG,包钢股份,3.08,1755,1755,1755,32560737500,15742023750,2001-03-09
600011.XSHG,华能国际,7.83,1756,1756,1756,15200383750,15200383750,2001-12-06
600012.XSHG,皖通高速,14.6,1757,1757,1757,1658610000,1658610000,2003-01-07
600015.XSHG,华夏银行,10.26,1758,1758,1758,10685572500,7785224375,2003-09-12
600016.XSHG,民生银行,9.16,1759,1759,1759,36485350000,36485350000,2000-12-19
600017.XSHG,日照港,4.57,1760,1760,1760,3075653750,3075653750,2006-10-17
600018.XSHG,上港集团,5.14,1761,1761,1761,23173675000,22755180000,2006-10-26
600019.XSHG,宝钢股份,5.35,1762,1762,1762,16467517500,16424278750,2000-12-12
600020.XSHG,中原高速,5.37,1763,1763,1763,2247371875,2247371875,2003-08-08
600021.XSHG,上海电力,11.85,1764,1764,1764,2139739375,2139739375,2003-10-29
600022.XSHG,山东钢铁,2.69,1765,1765,1765,8420422500,6436295625,2004-06-29
600023.XSHG,浙能电力,5.65,1766,1766,1766,13600690000,2987599687,2013-12-19
600026.XSHG,中海发展,6.99,1767,1767,1767,4032032812,4032032812,2002-05-23
600027.XSHG,华电国际,5.59,1768,1768,1768,9862976875,7657290000,2005-02-03
600028.XSHG,中国石化,4.66,1769,1769,1769,121071210000,121071210000,2001-08-08
600029.XSHG,南方航空,6.4,1770,1770,1770,9817566875,9817566875,2003-07-25
600030.XSHG,中信证券,18.35,1771,1771,1771,12116908750,12092990000,2003-01-06
600031.XSHG,三一重工,5.8,1772,1772,1772,7616503750,7593706250,2003-07-03
600033.XSHG,福建高速,3.44,1773,1773,1773,2744400000,2744400000,2001-02-09
600035.XSHG,楚天高速,5.3,1774,1774,1774,1453377968,1453377968,2004-03-10
600036.XSHG,招商银行,16.18,1775,1775,1775,25219845000,25219845000,2002-04-09
600037.XSHG,歌华有线,15.88,1776,1776,1776,1391777968,1168352031,2001-02-08
600038.XSHG,中直股份,43.02,1777,1777,1777,589476718,392650000,2000-12-18
600039.XSHG,四川路桥,4.02,1778,1778,1778,3019732812,3019732812,2003-03-25
600048.XSHG,保利地产,9.72,1779,1779,1779,10756715000,10756715000,2006-07-31
600050.XSHG,中国联通,4.51,1780,1780,1780,21196597500,21196597500,2002-10-09
600051.XSHG,宁波联合,10.18,1781,1781,1781,310880000,305791992,1997-04-10
600052.XSHG,浙江广厦,5.94,1782,1782,1782,871789062,871789062,1997-04-18
600053.XSHG,九鼎投资,42.32,1783,1783,1783,433540781,433540781,1997-04-18
600054.XSHG,黄山旅游,23.23,1784,1784,1784,498200000,273620000,1997-05-06
600055.XSHG,华润万东,27.89,1785,1785,1785,241435800,216450000,1997-05-19
600056.XSHG,中国医药,12.92,1786,1786,1786,1012513437,982203437,1997-05-15
600057.XSHG,象屿股份,10.62,1787,1787,1787,1170779375,553327187,1997-06-04
600058.XSHG,五矿发展,16.87,1788,1788,1788,1071910703,1071910703,1997-05-28
600059.XSHG,古越龙山,8.97,1789,1789,1789,808524218,808524218,1997-05-16
600060.XSHG,海信电器,15.03,1790,1790,1790,1308481171,1308481171,1997-04-22
600061.XSHG,国投安信,20.5,1791,1791,1791,3694151562,1962365000,1997-05-19
