代码,名称,收盘价,净值,总股本,流通股本,上市时间
159931.XSHE,金融ETF,1.423,1.4362,30828511,0,2013-09-16
159932.XSHE,500深ETF,1.723,1.7730,20507615,0,2013-10-21
159933.XSHE,金地ETF,1.478,1.4957,277878943,0,2013-10-16
159934.XSHE,黄金ETF,2.577,2.6118,107562646,0,2013-12-16
159935.XSHE,景顺500,1.556,1.5948,58572956,0,2014-01-21
159936.XSHE,可选消费,1.436,1.4720,272156094,0,2014-06-25
159937.XSHE,博时黄金,2.568,2.6183,230821977,0,2014-09-01
159938.XSHE,广发医药,1.182,1.2022,543283618,0,2015-01-08
159939.XSHE,信息技术,1.121,1.1389,446828053,0,2015-02-05
159940.XSHE,全指金融,0.742,0.7510,163059983,0,2015-04-17
159941.XSHE,纳指100,0.950,0.9657,33052541,0,2015-07-13
159942.XSHE,中创100,1.944,1.9500,50493705,0,2015-06-25
159943.XSHE,深证ETF,10.703,10.8440,55735342,0,2015-07-08
159944.XSHE,全指材料,0.751,0.7636,127608342,0,2015-07-06
159945.XSHE,全指能源,0.625,0.6309,161572327,0,2015-07-06
159946.XSHE,全指消费,0.840,0.8544,49315634,0,2015-07-13
160105.XSHE,南方积配,0.917,0.9152,27082863,0,2004-12-20
160106.XSHE,南方高增,1.191,1.1976,67820704,0,2005-09-21
160119.XSHE,南方500,1.462,1.4658,40674876,0,2009-11-11
160123.XSHE,南方50债,1.197,1.1913,1090900,0,2011-07-25
160125.XSHE,南方香港,0.796,0.8010,149753695,0,2011-11-01
160128.XSHE,南方金利,1.085,1.0660,40105792,0,2012-07-16
160130.XSHE,南方永利,0.943,0.9590,8909027,0,2013-06-06
160131.XSHE,南方聚利,1.029,1.0300,40330223,0,2014-01-21
160133.XSHE,南方天元,1.623,1.6230,329420722,0,2014-08-25
160211.XSHE,国泰小盘,2.350,2.3250,41331120,0,2010-01-07
160212.XSHE,国泰估值,1.919,1.8950,13728613,0,2013-02-27
160215.XSHE,国泰价值,0.000,1.5220,3469916,0,2010-09-13
160216.XSHE,国泰商品,0.392,0.4010,3168387167,0,2015-04-07
160220.XSHE,国泰民益,1.277,1.2800,285358741,0,2014-01-16
160311.XSHE,华夏蓝筹,1.228,1.2320,181750390,0,2007-05-28
160314.XSHE,华夏行业,0.975,0.9720,139320347,0,2008-01-14
160415.XSHE,华安S300,1.220,1.2200,1921234,0,2011-10-18
160416.XSHE,石油基金,0.808,0.8230,523287340,0,2012-05-02
